Problem-Solving Score,Coding Experience (Years),Work_Experience,Project Experience,Technical_Skills,Soft_Skills,Academic Background,Interests,Personality Type,Certifications,Work Preference,Preferred Tech Stack,Recommended Career
79.4405994097654,2.9359671220172157,0.1705315756538327,10.795585311974417,"Ethical Hacking, Cryptography, Python, Network Security","Time Management, Problem Solving, Communication",Physics,"Ethical Hacking, Cryptography, Python, Network Security",INTP,,Remote,"Ethical Hacking, Cryptography, Python, Network Security",Cybersecurity Expert
86.59451092344692,2.1383745502484945,1.1221647781118393,6.598748745437299,"Ethical Hacking, Python, Cryptography, Network Security","Leadership, Adaptability, Time Management",Electronics Engineering,"Ethical Hacking, Python, Cryptography, Network Security",INTJ,Microsoft Certified,Remote,"Ethical Hacking, Python, Cryptography, Network Security",Cybersecurity Expert
75.0,2.095797513321285,0.4839067055801383,5.169229194234106,"Ethical Hacking, Network Security, Python, Cryptography","Critical Thinking, Creativity",Data Science,"Ethical Hacking, Network Security, Python, Cryptography",ISTP,Microsoft Certified,Hybrid,"Ethical Hacking, Network Security, Python, Cryptography",Cybersecurity Expert
93.09711805780918,6.847923138822793,5.308049996755617,9.515991532513514,"Python, NLP, PyTorch","Problem Solving, Critical Thinking",Electronics Engineering,"Python, NLP, PyTorch",INTP,CompTIA Security+,Hybrid,"Python, NLP, PyTorch",AI Engineer
84.21809144784231,1.9864695748233385,1.593539895283043,2.9691583678370206,"JavaScript, Java, SQL, C++","Leadership, Teamwork, Time Management",Computer Science,"JavaScript, Java, SQL, C++",ENTJ,CompTIA Security+,Hybrid,"JavaScript, Java, SQL, C++",Software Engineer
76.18479922318633,1.5793452976256486,1.3631383370212062,8.23298126827558,"R, PyTorch, SQL","Adaptability, Communication, Leadership",Mathematics,"R, PyTorch, SQL",INTJ,Google Certified,Remote,"R, PyTorch, SQL",Data Scientist
79.30697802754207,5.854835899772805,2.8910921847439566,7.704595464437946,"Jenkins, AWS, Docker, Linux","Problem Solving, Time Management",Electronics Engineering,"Jenkins, AWS, Docker, Linux",ENFJ,Google Certified,Remote,"Jenkins, AWS, Docker, Linux",DevOps Engineer
92.69018283232984,7.657121423347887,4.585585593152595,9.253064397357342,"Ethical Hacking, Cryptography, Python","Communication, Problem Solving",Mathematics,"Ethical Hacking, Cryptography, Python",ENFP,Microsoft Certified,On-Site,"Ethical Hacking, Cryptography, Python",Cybersecurity Expert
88.62041625762939,3.632793496307812,2.352924457525484,3.0046833929578423,"Network Security, Cryptography","Teamwork, Leadership, Critical Thinking",Physics,"Network Security, Cryptography",ENFP,Google Certified,Hybrid,"Network Security, Cryptography",Cybersecurity Expert
81.22117681520528,3.826853197406286,0.2483331033358849,5.300900381146481,"SQL, C++, Python","Time Management, Adaptability",Data Science,"SQL, C++, Python",ENFJ,CompTIA Security+,Remote,"SQL, C++, Python",Software Engineer
79.62645396193301,4.426169321942941,4.36265580214347,5.1467185296495055,"Java, Python, SQL, C++","Problem Solving, Communication",Computer Science,"Java, Python, SQL, C++",INTJ,Cisco Certified,On-Site,"Java, Python, SQL, C++",Software Engineer
85.39250889830058,6.291794024068599,2.0508662918411615,3.7619283805243864,"Python, TensorFlow, Computer Vision","Time Management, Leadership, Problem Solving",Computer Science,"Python, TensorFlow, Computer Vision",ENTJ,Cisco Certified,Remote,"Python, TensorFlow, Computer Vision",AI Engineer
83.52825067003336,5.870490795415575,1.3417007992530767,4.27441405224717,"JavaScript, Java","Leadership, Critical Thinking",Computer Science,"JavaScript, Java",INTJ,Google Certified,On-Site,"JavaScript, Java",Software Engineer
